Cluster 0: ['##stad', '##pan', '##dr', 'stomach', 'crust', 'liver', 'sheets', 'napkin', '##kan', 'toast', 'loaf', '##cloth', 'million', '##cos', 'carts', 'camp', 'sheet', 'expectation', 'cds', 'sandy', 'diet', 'hated', 'pie', 'plates', 'scarce', 'tape', 'discs', 'baked', 'facebook', 'disgusted']
Cluster 11: ['benedict', 'charlie', '##bala', 'cesar', '##etti', 'goodbye', 'mig', '##core', 'mystery', 'tomorrow', 'apologetic', 'bye', 'question', '##roll', 'alfredo', '##frid', '##eki', 'wondered', 'ramsey', '##hand', 'roosevelt', 'hardy', 'denny', 'panic', '##vert', 'peru', '##eit', '##lay', 'crowe', 'fever']
Cluster 12: ['peas', 'already', 'finish', 'ripe', 'successfully', 'finished', 'gained', 'salad', '##rad', 'formerly', 'least', 'nailed', 'salsa', '##ata', 'textures', 'winner', 'olds', 'feat', 'shoulders', 'tops', 'difference', 'succeed', 'whether', 'demographic', 'waitress', 'chosen', 'originally', 'coaster', 'francisco', 'gone']
Cluster 13: ['receipt', 'alfredo', 'sweater', 'suv', 'envelope', 'immensely', 'sausage', 'seafood', 'receipts', 'neighborhoods', 'breasts', 'rum', 'avail', 'landscaping', '##ssel', 'purchases', 'bills', 'neighbor', 'fragrance', 'vodka', 'taxis', 'neighborhood', 'rudy', 'squid', 'insert', 'medallion', 'cardboard', 'squeezed', 'mushrooms', 'ads']
Cluster 14: ['bath', '##war', 'washing', '##av', '##gre', 'needing', 'rubbing', 'protect', 'sweating', '##sw', 'biting', 'ensure', 'crisp', '##rgo', 'swallow', '##wr', 'feed', 'spilling', 'hearing', '##urse', 'accompanying', 'accompany', 'cooling', '##rou', 'grille', 'shower', 'require', 'knowing', '##wu', '##we']
Cluster 15: ['##tou', '##bei', 'forth', '##vir', 'shift', 'departure', 'assessment', 'trader', 'intake', 'coup', 'scan', 'chao', '##rift', '00pm', '##ft', 'motion', 'owed', 'defiant', 'earn', 'earned', 'sized', '##rim', 'fade', 'weight', '##rga', '##vic', 'bare', '##nese', 'route', 'downfall']
Cluster 16: ['monday', 'saturday', 'weekday', 'homework', 'thursday', 'tomorrow', 'friday', 'else', 'wednesday', 'tuesday', 'weekend', '##sr', 'und', 'computer', '##ush', 'responsibility', 'computers', 'sunday', 'weekdays', 'mornings', 'coke', 'today', 'favor', 'cleaner', 'cleaning', 'et', 'sash', 'someday', 'apologize', 'jug']
Cluster 17: ['##osta', '##cous', '##ola', '##cola', '##el', '##ria', '##cho', '##rella', '##isto', 'plants', '##cure', '##riz', 'sonora', '##jun', '##tos', '##oma', 'technology', 'mirage', 'noir', '##erland', 'computers', '##sher', 'knowledge', 'digital', '##illo', '##vas', 'oscar', 'information', '##strom', 'roach']
Cluster 18: ['favorable', 'repeatedly', 'correctly', 'improper', 'incorrectly', 'inconsistent', 'differently', 'errors', 'previous', 'obscure', '##ieu', 'already', 'above', 'sufficient', 'miserable', 'satisfactory', 'twice', 'countless', 'accurate', 'guilty', 'constant', 'unhappy', 'daily', 'identical', 'definite', 'accurately', 'terrible', 'adequate', 'properly', 'immaculate']
Cluster 19: ['scarf', 'silver', 'reuben', 'recipe', 'fortune', 'kraft', 'culinary', 'pic', '##lan', 'michel', 'continental', '##lce', 'dime', 'riga', 'recipes', 'ter', '##cola', 'medallion', 'cal', 'gu', 'cosmopolitan', 'supreme', 'cutler', '##ele', 'strawberry', 'swiss', '##col', 'flavour', 'pastry', '##agne']
Cluster 20: ['someday', 'stars', 'theme', 'happier', '##1', '1st', 'bumps', 'romantic', 'first', 'once', 'laughs', 'single', 'forever', 'highlight', 'faster', 'ratings', 'peaceful', '1', 'star', 'smiled', 'outcome', 'especially', '##static', 'high', 'tonight', 'colors', 'each', 'happiness', 'soon', 'long']
Cluster 21: ['sexual', 'kei', 'eu', '##ood', '##eki', '##ste', 'kate', '##hei', 'bari', 'hardy', '##eral', 'amy', 'wu', '##tch', '##lich', '##ome', '##ster', '##sto', '##jack', '##elle', '##ota', '##ko', '##achi', 'ruth', '##ich', '##au', 'exciting', '##girl', '##ega', 'sea']
Cluster 22: ['brands', 'styles', 'pumps', 'taps', 'clubs', 'pads', 'cafes', 'stores', 'drinks', 'parks', 'sites', 'guitars', 'phones', 'entrances', 'cups', 'appliances', 'banks', 'firearms', 'targets', 'interrupt', 'expecting', 'websites', 'offerings', 'guns', 'earrings', 'vehicles', 'keys', 'malls', 'awards', 'shops']
Cluster 23: ['mandal', '##pac', 'instructor', 'imperial', '}', '##bu', 'ufc', 'buffalo', 'amc', '##dic', '##now', 'iced', 'reflex', 'duran', '##balls', 'university', '##nic', 'practice', 'practices', '##dan', 'nun', 'kai', 'va', 'naga', 'instruction', 'experience', 'scheduling', 'cesar', 'lessons', '360']
Cluster 24: ['kitchens', 'artwork', 'fireplace', 'mentally', 'furniture', 'visually', 'exceptions', 'architecture', 'grapes', 'environment', 'physically', 'holy', 'stared', 'kitchen', 'settings', '##tea', 'mental', 'senses', 'beers', 'birds', 'barbecue', 'view', 'paintings', 'space', 'dental', 'situations', 'balloons', '##ith', 'views', 'jars']
Cluster 25: ['##sin', 'caps', 'ar', 'sorts', 'tad', 'somewhat', '##ab', 'doll', 'dipped', '##rin', '##akes', 'sort', 'weak', 'mani', 'kind', '##rim', '##rmi', '##rum', 'component', 'patty', ']', 'components', 'lighter', '##eth', 'bal', 'kinda', 'kinds', 'kim', 'bin', 'sim']
Cluster 26: ['compensation', 'benefits', 'expectations', 'really', 'expect', 'compliment', 'results', 'shining', 'focus', 'expectation', 'fixtures', 'investment', 'programs', 'satisfaction', 'expected', 'shine', 'proud', 'joy', 'star', 'delight', 'standards', 'lights', 'desired', 'awards', 'reputation', 'requirements', 'ratings', 'stars', 'pays', 'lighting']
Cluster 27: ['bicycle', 'snap', 'drove', 'saturday', 'opt', 'pills', 'fries', 'oyster', 'nutrition', 'berries', 'friday', 'prescription', 'flown', 'gamble', 'wednesday', 'thursday', '##nna', 'click', 'fruits', '##tte', 'tuesday', 'calendar', 'seafood', 'sour', 'advised', 'puff', 'vitamin', 'morning', 'deadline', 'rode']
Cluster 28: ['charleston', 'mama', 'carlos', 'carolina', 'piper', 'mule', 'moi', 'petit', 'porch', 'badger', 'keller', 'shore', 'cuban', 'brandy', 'cozy', 'wisconsin', 'uncle', 'charlotte', 'florida', 'grandma', 'mesa', 'carly', 'rio', 'mechanic', 'maids', 'blanco', 'acid', 'toe', 'pregnant', 'et']
Cluster 29: ['frustrating', '^', 'drag', 'forgotten', '##uj', 'ruin', '##jan', 'pinch', 'caf', 'leaked', 'waited', 'dragged', 'ruined', 'glanced', 'thankfully', 'sucked', 'listened', 'interrupt', '##had', '##dou', 'advantage', 'rely', '@', '##lad', 'seem', 'became', 'struggled', '##lass', '##asi', 'fade']
Cluster 30: ['dvd', 'freaking', 'pac', 'youtube', 'pathetic', 'pudding', '##bel', '##ppe', 'jim', 'fucking', 'flick', 'syrup', 'quick', '##mento', 'painfully', 'comical', 'dynamite', 'scary', 'sarah', 'arcade', 'dom', 'hilarious', 'martini', 'facebook', 'mario', 'kidding', '##ppet', 'prep', 'wreck', 'surf']
Cluster 31: ['appalled', 'disgusting', 'harassed', 'furious', 'disgusted', 'horrified', 'robbed', 'staring', 'starving', 'attacked', 'behold', 'hurricane', 'worst', 'notch', 'racist', 'hated', 'frustrated', 'horrific', 'bookstore', 'hilarious', 'caliber', 'filthy', 'grocery', 'watching', 'exceeded', 'terrific', 'ain', 'kansas', 'tx', 'sorry']
Cluster 32: ['apology', 'apologized', 'apologies', 'fuss', 'fireworks', 'changes', 'apologize', 'lulu', 'sonora', 'buttons', 'change', 'updates', '##note', '##gne', 'cantonese', 'thanked', 'communicate', 'smiles', 'suggestions', 'guinness', 'responsive', '##gizing', 'alterations', 'changed', '##ucher', 'menu', 'foil', 'packages', 'whistle', 'encore']
Cluster 33: ['mermaid', 'pirate', 'hostess', '##uda', '##idal', 'pirates', 'angeles', 'shore', 'alexander', 'hampton', '##lino', 'brussels', 'octopus', '##ello', 'moscow', 'lobster', '##lf', 'balloons', 'lip', '##del', 'lulu', '130', '##lt', 'fountains', 'patrons', 'qc', 'partner', '##dur', '##uil', '##las']
Cluster 34: ['##bba', '##idal', 'importantly', 'euro', 'bypass', 'regret', 'special', 'official', 'glory', 'department', 'ones', 'batch', 'personal', '##vert', 'exclusive', 'favors', '##rgo', 'extensive', 'private', 'flyers', 'costa', 'speedy', '##hort', 'suburban', 'regretted', '##lei', 'thank', 'stellar', 'part', 'specially']
Cluster 35: ['theirs', 'jersey', 'bracelet', 'yours', 'maryland', 'elsewhere', '##hri', 'judgment', 'offense', 'shorts', 'edinburgh', 'skirt', 'watches', 'madison', 'earrings', 'apron', 'tatum', 'lecture', 'habit', 'osaka', 'toe', 'smile', 'daddy', 'costumes', 'chase', 'cameras', 'gown', 'shu', 'audi', 'elizabeth']
Cluster 36: ['reasons', 'walked', 'reason', 'wandered', 'dye', 'understood', 'protect', 'approached', 'swiped', 'wore', 'direction', 'stepped', 'wanted', 'glanced', 'knew', 'submitted', 'stumbled', 'proceeded', 'shades', 'impression', 'regretted', 'realized', 'reasoning', 'showed', 'reached', 'came', 'gotten', 'entered', 'went', 'walks']
Cluster 37: ['##tea', '##tu', '##rmi', '##ste', '##uy', '##hil', '##vier', '##uke', '##pic', '##oca', '##cum', '##pis', '##eu', '##dou', '##bane', '##hic', '##hre', '##hel', '##dur', '##sel', '##han', 'thou', '##nl', '##sha', '##nee', '##icio', '##lco', '##very', '##rea', '##yen']
Cluster 38: ['broad', '##fort', 'formal', 'nell', 'lavender', 'bien', '##llen', 'black', '##zen', 'roosevelt', 'blue', '##lino', 'fleming', '##quil', '##xt', 'sis', 'essen', '##stad', 'lighter', '##bon', 'lame', 'purple', '##llo', 'colors', 'walnut', 'dunn', '##bid', 'sheer', 'jean', 'wide']
Cluster 39: ['jealous', 'uber', 'entertained', '##aring', 'ruining', 'awhile', 'useful', 'nan', 'lent', '##fur', 'entertaining', 'distracting', 'gorgeous', 'anticipated', 'athletic', 'figured', 'warm', 'hotter', 'distracted', 'mas', 'insane', 'hysterical', 'pretty', 'mentally', 'attractive', 'anticipating', 'fluffy', 'overly', 'fuzzy', 'sporting']
Cluster 40: ['nasty', '##oran', 'physical', '##una', '##oor', 'laundry', 'choreography', 'aroma', 'bathrooms', 'hallways', 'stench', '##atable', 'ventilation', 'activity', 'scent', 'decorated', '##nction', '##ctic', 'unpleasant', 'intention', 'removing', 'messy', 'efficient', 'odor', 'consisting', 'red', '##cious', 'sex', 'bath', 'showers']
Cluster 41: ['combinations', 'flavour', 'coverage', 'packaging', 'bullshit', 'filling', 'variations', 'ringing', 'substituted', 'mint', 'pregnancy', 'justice', 'flirting', 'bonn', 'pop', 'bland', 'peel', 'variation', 'split', 'appeal', 'varieties', 'pairing', 'twist', 'combo', 'selections', 'brunette', 'wedge', 'swap', 'topping', '##urn']
Cluster 42: ['scotland', 'spouse', 'photography', 'fiance', 'photographer', 'wife', 'husband', 'sons', 'neighbor', 'husbands', ',', 'photographers', 'motel', 'hear', 'neighbors', 'reading', 'hotels', 'reporting', 'ears', 'shoot', 'iv', 'champaign', 'shooting', 'whose', 'heartbeat', "'", 'intend', 'investigate', 'discs', 'montreal']
Cluster 43: ['floating', 'memorial', '##ther', 'feast', 'addicted', 'entertained', 'steamer', 'medley', 'remainder', 'float', '##ense', '##tch', 'finishing', 'insurance', '##ocation', 'ramsay', 'starter', 'consumed', '##ade', '##tose', 'soup', 'auction', 'attending', 'pancakes', '97', 'finished', '79', 'unbearable', 'dessert', 'attend']
Cluster 44: ['hesitate', 'fail', 'unless', 'vinegar', 'military', 'dentist', 'gps', 'hesitation', 'tear', 'shooting', 'chemical', 'butcher', 'restrictions', 'pause', 'burn', 'dev', 'navy', 'immediate', 'wheelchair', 'dipped', 'until', 'cutter', 'close', 'hunt', 'mob', 'caribbean', 'unwilling', 'crash', '##dam', 'burning']
Cluster 45: ['contrast', '##agger', '##ugh', 'studio', '##oop', 'unlike', 'overhead', 'pip', 'reluctantly', 'taxi', '##iz', 'wah', 'hobby', '##cht', 'snow', 'shi', '##rily', 'pressured', 'parma', '##lma', 'exceeded', 'partial', '##ang', 'sauce', 'true', 'thereafter', 'agreed', 'toast', '##ug', 'ranging']
Cluster 46: ['brisk', 'wireless', 'booth', 'gloves', 'freeze', 'tent', 'fries', 'insurance', 'hydra', 'tickets', 'cards', 'sleeves', 'booths', 'card', 'cid', '##rift', 'lease', 'cutler', 'wired', 'lent', 'bid', 'medical', 'raft', 'security', 'heat', 'locker', 'balloons', 'ticket', 'lashes', 'buses']
Cluster 47: ['##zza', '##rella', '##chi', '##all', '##oca', 'med', '##rmi', '##tto', '##aro', 'wa', '##press', '##stand', 'ling', '##omp', 'gu', '##wr', 'cara', '##zer', '##sr', '##ffle', '##iu', '##chet', '##rre', '##io', '##eti', '##chio', '##rite', '##aw', '##nate', 'stir']
Cluster 48: ['drawers', 'gallon', '##eus', 'drawer', 'cabinets', '##bie', 'handicapped', 'tools', 'neighboring', 'bathrooms', '##rgan', 'separate', 'comfort', 'interior', 'skill', 'starters', 'bites', 'plumbing', 'boutique', 'functional', '##for', 'deliveries', 'whereas', 'opposite', 'appliances', 'renovated', 'serviced', 'stolen', 'treasures', 'visits']
Cluster 49: ['easter', 'portland', 'francisco', 'beach', 'popularity', 'honeymoon', '##bala', '12', '10th', 'lent', 'cute', 'speed', '02', 'lunch', '00', 'noon', '9', 'breasts', 'amusing', '10', 'characters', 'funny', '8', 'boston', 'jackson', '##ddin', 'points', 'costume', 'angeles', 'weights']
