Cluster 0: ['horizontal', 'vertical', '##water', '##era', 'fine', 'dusty', 'steep', 'lavish', 'thriller', '##tera']
Cluster 31: ['drought', 'violence', 'boeing', 'construction', 'tuna', 'recession', 'mortgage', 'resting', 'fiat', 'thor']
Cluster 32: ['##ify', 'ventilation', '##scribe', '##asi', '##mute', 'hostel', '##uate', '##hat', '##ivating', 'iq']
Cluster 33: ['hearing', 'ultrasound', 'malicious', 'loud', 'rookie', 'player', '##eld', 'legitimate', 'valuation', 'replay']
Cluster 34: ['ratios', 'conversions', 'modifications', 'manner', 'frequency', 'frequencies', 'rates', 'instructions', 'ratio', 'correlation']
Cluster 35: ['century', 'existing', 'forgotten', 'diagnosis', 'correlation', 'impress', 'starring', 'diagnosed', 'merger', 'enroll']
Cluster 36: ['bam', 'difficulty', 'restructuring', '##sper', 'controversy', 'shocked', 'flexibility', 'confusion', '##quil', 'sol']
Cluster 37: ['kumar', '##aya', 'raj', '##dha', 'raja', '##aj', '##ᅡ', '##ao', '##iya', '##uru']
Cluster 38: ['##oya', '##ake', 'aura', 'wah', '##bot', '##let', '##oper', 'myself', 'throat', 'newspaper']
Cluster 39: ['mesh', 'foam', 'conspiracy', '##ce', 'suits', '##sm', 'ars', '##fare', 'van', 'lush']
Cluster 40: ['explicitly', '##ise', '##quest', '##fe', '##pile', '##ak', '##aks', '##code', '##note', '##ave']
Cluster 41: ['copyright', 'inspiration', 'championships', 'shame', 'rules', 'chapters', 'edition', 'membership', 'uncertainty', 'reservations']
Cluster 42: ['##lists', '##80', '##path', 'probation', '##list', '##ln', 'networks', 'expectations', 'guilt', 'forums']
Cluster 43: ['hospital', 'hospitals', 'conference', '##urer', '##nds', 'hostel', 'storey', '@', 'conditions', 'ship']
Cluster 44: ['hostile', 'fake', 'diagnosed', 'touching', 'blur', '##chy', 'identification', 'markers', 'baseline', 'goodbye']
Cluster 45: ['bookstore', '@', 'midwest', 'wc', 'starbucks', 'linux', 'mac', '##mute', 'catholic', '##bc']
Cluster 46: ["'", '.', 'mustang', ')', '"', 'kerala', 'bengal', '##za', 'cherokee', 'afghan']
Cluster 47: ['cleaned', '##bon', 'dice', '##rt', '##ole', 'chen', '##fen', '##rel', 'lazy', 'trash']
Cluster 48: ['##lam', 'armed', '##power', '##les', 'gameplay', 'playful', 'sensitivity', '##print', '##rate', 'bounce']
Cluster 49: ['merchandise', '##ᆨ', 'goods', 'products', 'currency', '##ᆷ', 'criminals', '##ᆯ', 'cuisine', '##ᆸ']
